(Declared Winner)","NO
(Declared Loser)",UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,Over Votes,Under Votes,Total,"Error Bound (up) - 
Max. possible relative overstatement for
NO (Loser)",Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Max Error Bound (up),up/U Selection Probability,Running (cumulative) sum,Selection Range,Lower Range,Span,Upper Range,"Selection - 
Batch picked for audit",Times p Drawn - With Replacement
Batch by Type (p),Winning Candidate,Losing Candidate,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Candidate 11,Candidate 12,Over Votes,Under Votes,Total,Error Bound (up) - Max. possible relative overstatement - Losing Candidate,Error Bound (up) - Max. possible relative overstatement - Candidate 3,Error Bound (up) - Max. possible relative overstatement - Candidate 4,Error Bound (up) - Max. possible relative overstatement - Candidate 5,Error Bound (up) - Max. possible relative overstatement - Candidate 6,Error Bound (up) - Max. possible relative overstatement - Candidate 7,Error Bound (up) - Max. possible relative overstatement - Candidate 8,Error Bound (up) - Max. possible relative overstatement - Candidate 9,Error Bound (up) - Max. possible relative overstatement - Candidate 10,Error Bound (up) - Max. possible relative overstatement - Candidate 11,Error Bound (up) - Max. possible relative overstatement - Candidate 12,Max Error Bound (up),up/U Selection Probability,Running (cumulative) sum,Selection Range,Lower Range,Span,Upper Range,Selection - Batch picked for audit,Times p Drawn - With Replacement
1202 CIN 12-B   (AV),0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0.06 ,Zero,5813.274612,-1,5812.274612,,0
1203 CIN 12-C   (AV),84,6,,,,,,,,,,,0,1,91,0.001957015,0,0,0,0,0,0,0,0,0,0,0.001957015,0.000450538, 0.06 ,05813 - 05857,5813.274612,44.05381131,5857.328424,,0
1204 CIN 12-D   (AV),118,30,,,,,,,,,,,0,3,151,0.002767613,0,0,0,0,0,0,0,0,0,0,0.002767613,0.000637152, 0.06 ,05858 - 05921,5858.328424,62.71515328,5921.043577,,0
1205 CIN 12-E   (AV),41,4,,,,,,,,,,,0,1,46,0.000961138,0,0,0,0,0,0,0,0,0,0,0.000961138,0.00022127, 0.06 ,05922 - 05943,5922.043577,21.12701976,5943.170597,,0
1301 CIN 13-A   (AV),45,9,,,,,,,,,,,1,4,59,0.001100097,0,0,0,0,0,0,0,0,0,0,0.001100097,0.000253261, 0.06 ,05944 - 05968,5944.170597,24.32610695,5968.496704,,0
1302 CIN 13-B   (AV),116,18,,,,,,,,,,,0,2,136,0.002709713,0,0,0,0,0,0,0,0,0,0,0.002709713,0.000623822, 0.06 ,05969 - 06031,5969.496704,61.38220028,6030.878904,,0
1303 CIN 13-C   (AV),63,12,,,,,,,,,,,0,2,77,0.001482236,0,0,0,0,0,0,0,0,0,0,0.001482236,0.000341236, 0.06 ,06032 - 06065,6031.878904,33.12359673,6065.002501,,0
1304 CIN 13-D   (AV),94,17,,,,,,,,,,,0,1,112,0.002188615,0,0,0,0,0,0,0,0,0,0,0.002188615,0.000503856, 0.06 ,06066 - 06115,6066.002501,49.3856233,6115.388124,,0
1305 CIN 13-E   (AV),322,32,,,,,,,,,,,0,2,356,0.007480661,0,0,0,0,0,0,0,0,0,0,0.007480661,0.001722175, 0.06 ,06116 - 06288,6116.388124,171.2175273,6287.605651,,0
1306 CIN 13-F   (AV),187,24,,,,,,,,,,,0,0,211,0.004330909,0,0,0,0,0,0,0,0,0,0,0.004330909,0.000997049, 0.06 ,06289 - 06387,6288.605651,98.70488421,6387.310535,,0
1307 CIN 13-G   (AV),90,11,,,,,,,,,,,0,1,102,0.002095975,0,0,0,0,0,0,0,0,0,0,0.002095975,0.000482529, 0.06 ,06388 - 06436,6388.310535,47.25289851,6435.563434,,0
1308 CIN 13-H   (AV),4,3,,,,,,,,,,,0,0,7,9.26398E-05,0,0,0,0,0,0,0,0,0,0,9.26398E-05,2.13272E-05, 0.06 ,06437 - 06438,6436.563434,1.132724796,6437.696159,,0
1401 CIN 14-A   (AV),250,32,,,,,,,,,,,0,3,285,0.005824726,0,0,0,0,0,0,0,0,0,0,0.005824726,0.001340951, 0.07 ,06439 - 06572,6438.696159,133.0950715,6571.79123,,0
1402 CIN 14-B   (AV),133,12,,,,,,,,,,,1,1,147,0.003103432,0,0,0,0,0,0,0,0,0,0,0.003103432,0.000714463, 0.07 ,06573 - 06643,6572.79123,70.44628066,6643.237511,,0
