(Declared Winner)","NO
(Declared Loser)",UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,Over Votes,Under Votes,Total,"Error Bound (up) - 
Max. possible relative overstatement for
NO (Loser)",Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Max Error Bound (up),up/U Selection Probability,Running (cumulative) sum,Selection Range,Lower Range,Span,Upper Range,"Selection - 
Batch picked for audit",Times p Drawn - With Replacement
Batch by Type (p),Winning Candidate,Losing Candidate,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Candidate 11,Candidate 12,Over Votes,Under Votes,Total,Error Bound (up) - Max. possible relative overstatement - Losing Candidate,Error Bound (up) - Max. possible relative overstatement - Candidate 3,Error Bound (up) - Max. possible relative overstatement - Candidate 4,Error Bound (up) - Max. possible relative overstatement - Candidate 5,Error Bound (up) - Max. possible relative overstatement - Candidate 6,Error Bound (up) - Max. possible relative overstatement - Candidate 7,Error Bound (up) - Max. possible relative overstatement - Candidate 8,Error Bound (up) - Max. possible relative overstatement - Candidate 9,Error Bound (up) - Max. possible relative overstatement - Candidate 10,Error Bound (up) - Max. possible relative overstatement - Candidate 11,Error Bound (up) - Max. possible relative overstatement - Candidate 12,Max Error Bound (up),up/U Selection Probability,Running (cumulative) sum,Selection Range,Lower Range,Span,Upper Range,Selection - Batch picked for audit,Times p Drawn - With Replacement
4441 NORW 4-A   (ED),154,70,,,,,,,,,,,0,1,225,0.003578211,0,0,0,0,0,0,0,0,0,0,0.003578211,0.000823765, 0.63 ,63333 - 63415,63333.12895,81.37649524,63414.50544,,0
4442 NORW 4-B   (ED),187,81,,,,,,,,,,,0,1,269,0.004342489,0,0,0,0,0,0,0,0,0,0,0.004342489,0.000999715, 0.64 ,63416 - 63514,63415.50544,98.97147481,63514.47692,,0
4443 NORW 4-C   (ED),240,138,,,,,,,,,,,0,7,385,0.005639446,0,0,0,0,0,0,0,0,0,0,0.005639446,0.001298296, 0.64 ,63515 - 63644,63515.47692,128.8296219,63644.30654,,0
4611 READ 1-A   (ED),287,231,,,,,,,,,,,0,5,523,0.006704803,0,0,0,0,0,0,0,0,0,0,0.006704803,0.00154356, 0.64 ,63645 - 63799,63645.30654,153.3559571,63798.6625,,0
4612 READ 1-B   (ED),98,48,,,,,,,,,,,0,2,148,0.002292834,0,0,0,0,0,0,0,0,0,0,0.002292834,0.000527849, 0.64 ,63800 - 63851,63799.6625,51.7849387,63851.44743,,0
4621 READ 2-A   (ED),177,142,,,,,,,,,,,0,8,327,0.00419195,0,0,0,0,0,0,0,0,0,0,0.00419195,0.000965058, 0.64 ,63852 - 63948,63852.44743,95.50579701,63947.95323,,0
4622 READ 2-B   (ED),126,103,,,,,,,,,,,0,8,237,0.003010793,0,0,0,0,0,0,0,0,0,0,0.003010793,0.000693136, 0.64 ,63949 - 64017,63948.95323,68.31355587,64017.26679,,0
4631 READ 3-A   (ED),244,209,,,,,,,,,,,0,7,460,0.005732086,0,0,0,0,0,0,0,0,0,0,0.005732086,0.001319623, 0.64 ,64018 - 64149,64018.26679,130.9623467,64149.22913,,0
4632 READ 3-B   (ED),162,183,,,,,,,,,,,0,4,349,0.003798231,0,0,0,0,0,0,0,0,0,0,0.003798231,0.000874417, 0.64 ,64150 - 64237,64150.22913,86.44171663,64236.67085,,0
4641 READ 4-A   (ED),195,222,,,,,,,,,,,0,4,421,0.004562509,0,0,0,0,0,0,0,0,0,0,0.004562509,0.001050367, 0.64 ,64238 - 64342,64237.67085,104.0366962,64341.70755,,0
4642 READ 4-B   (ED),264,308,,,,,,,,,,,0,3,575,0.006148965,0,0,0,0,0,0,0,0,0,0,0.006148965,0.001415596, 0.64 ,64343 - 64483,64342.70755,140.5596083,64483.26716,,0
4911 SHAR 1-A   (ED),192,103,,,,,,,,,,,0,1,296,0.004458289,0,0,0,0,0,0,0,0,0,0,0.004458289,0.001026374, 0.65 ,64484 - 64586,64484.26716,101.6373808,64585.90454,,0
4912 SHAR 1-B   (ED),175,82,,,,,,,,,,,0,2,259,0.00407615,0,0,0,0,0,0,0,0,0,0,0.00407615,0.000938399, 0.65 ,64587 - 64680,64586.90454,92.83989102,64679.74443,,0
4921 SHAR 2-A   (ED),257,176,,,,,,,,,,,0,6,439,0.006021585,0,0,0,0,0,0,0,0,0,0,0.006021585,0.001386271, 0.65 ,64681 - 64818,64680.74443,137.6271117,64818.37154,,0
4931 SHAR 3-A   (ED),306,293,,,,,,,,,,,0,4,603,0.007133262,0,0,0,0,0,0,0,0,0,0,0.007133262,0.001642198, 0.65 ,64819 - 64983,64819.37154,163.2198093,64982.59135,,0
4932 SHAR 3-B   (ED),189,218,,,,,,,,,,,0,2,409,0.004400389,0,0,0,0,0,0,0,0,0,0,0.004400389,0.001013044, 0.65 ,64984 - 65084,64983.59135,100.3044278,65083.89578,,0
4941 SHAR 4-A   (ED),286,265,,,,,,,,,,,0,2,553,0.006646904,0,0,0,0,0,0,0,0,0,0,0.006646904,0.00153023, 0.65 ,65085 - 65237,65084.89578,152.0230041,65236.91878,,0
4942 SHAR 4-B   (ED),388,315,,,,,,,,,,,0,4,707,0.009032378,0,0,0,0,0,0,0,0,0,0,0.009032378,0.002079407, 0.65 ,65238 - 65445,65237.91878,206.9406676,65444.85945,,0
5201 SPDALE A   (ED),245,112,,,,,,,,,,,0,2,359,0.005697346,0,0,0,0,0,0,0,0,0,0,0.005697346,0.001311626, 0.66 ,65446 - 65576,65445.85945,130.1625749,65576.02202,,0
5202 SPDALE B   (ED),284,121,,,,,,,,,,,0,5,410,0.006635324,0,0,0,0,0,0,0,0,0,0,0.006635324,0.001527564, 0.66 ,65577 - 65729,65577.02202,151.7564135,65728.77844,9,1
5203 SPDALE C   (ED),211,117,,,,,,,,,,,0,6,334,0.004956228,0,0,0,0,0,0,0,0,0,0,0.004956228,0.001141008, 0.66 ,65730 - 65843,65729.77844,113.1007766,65842.87921,,0
5204 SPDALE D   (ED),198,119,,,,,,,,,,,0,6,323,0.004655148,0,0,0,0,0,0,0,0,0,0,0.004655148,0.001071694, 0.66 ,65844 - 65950,65843.87921,106.169421,65950.04863,,0
5205 SPDALE E   (ED),180,107,,,,,,,,,,,0,2,289,0.00419195,0,0,0,0,0,0,0,0,0,0,0.00419195,0.000965058, 0.66 ,65951 - 66047,65951.04863,95.50579701,66046.55443,,0
5206 SPDALE F   (ED),216,121,,,,,,,,,,,0,3,340,0.005037288,0,0,0,0,0,0,0,0,0,0,0.005037288,0.001159669, 0.66 ,66048 - 66163,66047.55443,114.9669108,66162.52134,,0
5207 SPDALE G   (ED),167,50,,,,,,,,,,,0,3,220,0.00390245,0,0,0,0,0,0,0,0,0,0,0.00390245,0.00089841, 0.66 ,66164 - 66252,66163.52134,88.84103203,66252.36237,,0
5208 SPDALE H   (ED),311,122,,,,,,,,,,,0,1,434,0.007214322,0,0,0,0,0,0,0,0,0,0,0.007214322,0.001660859, 0.66 ,66253 - 66418,66253.36237,165.0859435,66418.44832,,0
5301 WYOM A   (ED),553,190,,,,,,,,,,,0,5,748,0.012865348,0,0,0,0,0,0,0,0,0,0,0.012865348,0.002961822, 0.67 ,66419 - 66715,66419.44832,295.182156,66714.63047,,0
5302 WYOM B   (ED),522,171,,,,,,,,,,,0,4,697,0.01213581,0,0,0,0,0,0,0,0,0,0,0.01213581,0.002793869, 0.67 ,66716 - 66994,66715.63047,278.3869483,66994.01742,,0
5303 WYOM C   (ED),555,179,,,,,,,,,,,0,5,739,0.012911668,0,0,0,0,0,0,0,0,0,0,0.012911668,0.002972485, 0.67 ,66995 - 67291,66995.01742,296.2485184,67291.26594,,0
5304 WYOM D   (ED),502,154,,,,,,,,,,,0,4,660,0.011672611,0,0,0,0,0,0,0,0,0,0,0.011672611,0.002687233, 0.68 ,67292 - 67560,67292.26594,267.7233243,67559.98926,,0
5305 WYOM E   (ED),503,163,,,,,,,,,,,0,2,668,0.011672611,0,0,0,0,0,0,0,0,0,0,0.011672611,0.002687233, 0.68 ,67561 - 67829,67560.98926,267.7233243,67828.71259,,0
5501 AMBER A   (ED),286,96,,,,,,,,,,,0,2,384,0.006646904,0,0,0,0,0,0,0,0,0,0,0.006646904,0.00153023, 0.68 ,67830 - 67982,67829.71259,152.0230041,67981.73559,,0
5502 AMBER B   (ED),212,150,,,,,,,,,,,0,3,365,0.004944648,0,0,0,0,0,0,0,0,0,0,0.004944648,0.001138342, 0.68 ,67983 - 68096,67982.73559,112.834186,68095.56978,,0
5503 AMBER C   (ED),233,105,,,,,,,,,,,0,5,343,0.005454166,0,0,0,0,0,0,0,0,0,0,0.005454166,0.001255642, 0.68 ,68097 - 68221,68096.56978,124.5641724,68221.13395,,0
5504 AMBER D   (ED),281,123,,,,,,,,,,,0,2,406,0.006531104,0,0,0,0,0,0,0,0,0,0,0.006531104,0.001503571, 0.68 ,68222 - 68371,68222.13395,149.3570981,68371.49105,,0
5601 AND A   (ED),318,230,,,,,,,,,,,0,5,553,0.007422762,0,0,0,0,0,0,0,0,0,0,0.007422762,0.001708846, 0.69 ,68372 - 68542,68372.49105,169.8845743,68542.37562,,0
5602 AND B   (ED),236,201,,,,,,,,,,,2,5,444,0.005546806,0,0,0,0,0,0,0,0,0,0,0.005546806,0.001276969, 0.69 ,68543 - 68670,68543.37562,126.6968972,68670.07252,,0
5603 AND C   (ED),431,266,,,,,,,,,,,0,9,706,0.010086155,0,0,0,0,0,0,0,0,0,0,0.010086155,0.002322004, 0.69 ,68671 - 68902,68671.07252,231.2004121,68902.27293,,0
5604 AND D   (ED),369,318,,,,,,,,,,,0,9,696,0.008650239,0,0,0,0,0,0,0,0,0,0,0.008650239,0.001991432, 0.69 ,68903 - 69101,68903.27293,198.1431778,69101.41611,,0
5605 AND E   (ED),306,277,,,,,,,,,,,0,6,589,0.007156422,0,0,0,0,0,0,0,0,0,0,0.007156422,0.00164753, 0.69 ,69102 - 69266,69102.41611,163.7529905,69266.1691,,0
5606 AND F   (ED),369,304,,,,,,,,,,,0,4,677,0.008592339,0,0,0,0,0,0,0,0,0,0,0.008592339,0.001978102, 0.69 ,69267 - 69464,69267.1691,196.8102248,69463.97933,,0
5607 AND G   (ED),406,295,,,,,,,,,,,0,13,714,0.009553476,0,0,0,0,0,0,0,0,0,0,0.009553476,0.002199372, 0.70 ,69465 - 69684,69464.97933,218.9372446,69683.91657,,0
5608 AND H   (ED),384,275,,,,,,,,,,,0,14,673,0.009055538,0,0,0,0,0,0,0,0,0,0,0.009055538,0.002084738, 0.70 ,69685 - 69892,69684.91657,207.4738488,69892.39042,,0
5609 AND I   (ED),393,245,,,,,,,,,,,0,5,643,0.009159757,0,0,0,0,0,0,0,0,0,0,0.009159757,0.002108732, 0.70 ,69893 - 70103,69893.39042,209.8731642,70103.26358,,0
5610 AND J   (ED),271,251,,,,,,,,,,,0,3,525,0.006311084,0,0,0,0,0,0,0,0,0,0,0.006311084,0.001452919, 0.70 ,70104 - 70249,70104.26358,144.2918767,70248.55546,,0
5611 AND K   (ED),420,266,,,,,,,,,,,1,6,693,0.009808236,0,0,0,0,0,0,0,0,0,0,0.009808236,0.002258022, 0.70 ,70250 - 70474,70249.55546,224.8022378,70474.3577,,0
5612 AND L   (ED),413,303,,,,,,,,,,,0,7,723,0.009646116,0,0,0,0,0,0,0,0,0,0,0.009646116,0.0022207, 0.71 ,70475 - 70696,70475.3577,221.0699694,70696.42767,,0
5613 AND M   (ED),243,166,,,,,,,,,,,0,7,416,0.005708926,0,0,0,0,0,0,0,0,0,0,0.005708926,0.001314292, 0.71 ,70697 - 70828,70697.42767,130.4291655,70827.85683,,0
5614 AND N   (ED),447,244,,,,,,,,,,,1,6,698,0.010433554,0,0,0,0,0,0,0,0,0,0,0.010433554,0.002401981, 0.71 ,70829 - 71068,70828.85683,239.1981301,71068.05496,,0
5615 AND O   (ED),407,265,,,,,,,,,,,0,6,678,0.009495576,0,0,0,0,0,0,0,0,0,0,0.009495576,0.002186043, 0.71 ,71069 - 71287,71069.05496,217.6042916,71286.65925,,0
5616 AND P   (ED),175,132,,,,,,,,,,,0,4,311,0.00409931,0,0,0,0,0,0,0,0,0,0,0.00409931,0.000943731, 0.71 ,71288 - 71381,71287.65925,93.37307222,71381.03233,,0
5617 AND Q   (ED),412,305,,,,,,,,,,,0,9,726,0.009646116,0,0,0,0,0,0,0,0,0,0,0.009646116,0.0022207, 0.72 ,71382 - 71603,71382.03233,221.0699694,71603.1023,,0
5618 AND R   (ED),382,264,,,,,,,,,,,0,6,652,0.008916578,0,0,0,0,0,0,0,0,0,0,0.008916578,0.002052748, 0.72 ,71604 - 71808,71604.1023,204.2747616,71808.37706,,0
5619 AND S   (ED),219,152,,,,,,,,,,,0,5,376,0.005129927,0,0,0,0,0,0,0,0,0,0,0.005129927,0.001180996, 0.72 ,71809 - 71926,71809.37706,117.0996356,71926.47669,,0
5620 AND T   (ED),272,141,,,,,,,,,,,0,6,419,0.006368984,0,0,0,0,0,0,0,0,0,0,0.006368984,0.001466248, 0.72 ,71927 - 72073,71927.47669,145.6248297,72073.10152,,0
5621 AND U   (ED),350,245,,,,,,,,,,,0,6,601,0.00817546,0,0,0,0,0,0,0,0,0,0,0.00817546,0.00188213, 0.72 ,72074 - 72261,72074.10152,187.2129632,72261.31449,,0
5622 AND V   (ED),208,132,,,,,,,,,,,0,5,345,0.004875168,0,0,0,0,0,0,0,0,0,0,0.004875168,0.001122346, 0.72 ,72262 - 72374,72262.31449,111.2346424,72373.54913,,0
5623 AND W   (ED),252,152,,,,,,,,,,,1,7,412,0.005928945,0,0,0,0,0,0,0,0,0,0,0.005928945,0.001364944, 0.73 ,72375 - 72510,72374.54913,135.4943869,72510.04352,,0
5624 AND X   (ED),244,158,,,,,,,,,,,0,1,403,0.005662606,0,0,0,0,0,0,0,0,0,0,0.005662606,0.001303628, 0.73 ,72511 - 72640,72511.04352,129.3628031,72640.40632,,0
5625 AND Y   (ED),147,137,,,,,,,,,,,0,3,287,0.003439251,0,0,0,0,0,0,0,0,0,0,0.003439251,0.000791774, 0.73 ,72641 - 72720,72641.40632,78.17740805,72719.58373,,0
5626 AND Z   (ED),350,241,,,,,,,,,,,1,5,597,0.00817546,0,0,0,0,0,0,0,0,0,0,0.00817546,0.00188213, 0.73 ,72721 - 72908,72720.58373,187.2129632,72907.79669,,0
5627 AND AA   (ED),413,275,,,,,,,,,,,0,8,696,0.009657696,0,0,0,0,0,0,0,0,0,0,0.009657696,0.002223366, 0.73 ,72909 - 73130,72908.79669,221.33656,73130.13325,,0
5628 AND BB   (ED),331,189,,,,,,,,,,,2,9,531,0.007793321,0,0,0,0,0,0,0,0,0,0,0.007793321,0.001794155, 0.73 ,73131 - 73310,73131.13325,178.4154735,73309.54872,,0
5629 AND CC   (ED),218,149,,,,,,,,,,,1,3,371,0.005095187,0,0,0,0,0,0,0,0,0,0,0.005095187,0.001172999, 0.73 ,73311 - 73427,73310.54872,116.2998638,73426.84859,7,1
5630 AND DD   (ED),414,289,,,,,,,,,,,0,9,712,0.009692436,0,0,0,0,0,0,0,0,0,0,0.009692436,0.002231363, 0.74 ,73428 - 73650,73427.84859,222.1363318,73649.98492,,0
5631 AND EE   (ED),213,149,,,,,,,,,,,0,5,367,0.004990968,0,0,0,0,0,0,0,0,0,0,0.004990968,0.001149005, 0.74 ,73651 - 73765,73650.98492,113.9005484,73764.88547,,0
5632 AND FF   (ED),344,216,,,,,,,,,,,0,5,565,0.00802492,0,0,0,0,0,0,0,0,0,0,0.00802492,0.001847473, 0.74 ,73766 - 73950,73765.88547,183.7472854,73949.63275,,0
5801 ARLN A   (ED),127,66,,,,,,,,,,,0,4,197,0.002987633,0,0,0,0,0,0,0,0,0,0,0.002987633,0.000687804, 0.74 ,73951 - 74018,73950.63275,67.78037467,74018.41313,,0
5901 COLE A   (ED),187,442,,,,,,,,,,,0,3,632,0.004365649,0,0,0,0,0,0,0,0,0,0,0.004365649,0.001005047, 0.74 ,74019 - 74119,74019.41313,99.504656,74118.91778,,0
5902 COLE B   (ED),256,173,,,,,,,,,,,0,1,430,0.005940525,0,0,0,0,0,0,0,0,0,0,0.005940525,0.00136761, 0.74 ,74120 - 74256,74119.91778,135.7609775,74255.67876,,0
5903 COLE C   (ED),245,169,,,,,,,,,,,0,3,417,0.005708926,0,0,0,0,0,0,0,0,0,0,0.005708926,0.001314292, 0.74 ,74257 - 74387,74256.67876,130.4291655,74387.10793,,0
5904 COLE D   (ED),220,129,,,,,,,,,,,0,0,349,0.005095187,0,0,0,0,0,0,0,0,0,0,0.005095187,0.001172999, 0.75 ,74388 - 74504,74388.10793,116.2998638,74504.40779,,0
5905 COLE E   (ED),243,386,,,,,,,,,,,0,5,634,0.005685766,0,0,0,0,0,0,0,0,0,0,0.005685766,0.00130896, 0.75 ,74505 - 74635,74505.40779,129.8959843,74635.30377,,0
5906 COLE F   (ED),211,412,,,,,,,,,,,0,7,630,0.004967808,0,0,0,0,0,0,0,0,0,0,0.004967808,0.001143674, 0.75 ,74636 - 74750,74636.30377,113.3673672,74749.67114,,0
5907 COLE G   (ED),194,370,,,,,,,,,,,0,7,571,0.004574089,0,0,0,0,0,0,0,0,0,0,0.004574089,0.001053033, 0.75 ,74751 - 74855,74750.67114,104.3032868,74854.97443,,0
5908 COLE H   (ED),311,311,,,,,,,,,,,0,6,628,0.007272222,0,0,0,0,0,0,0,0,0,0,0.007272222,0.001674189, 0.75 ,74856 - 75022,74855.97443,166.4188965,75022.39333,,0
5909 COLE I   (ED),140,289,,,,,,,,,,,1,4,434,0.003300292,0,0,0,0,0,0,0,0,0,0,0.003300292,0.000759783, 0.75 ,75023 - 75098,75023.39333,74.97832085,75098.37165,,0
5910 COLE J   (ED),227,245,,,,,,,,,,,0,2,474,0.005280467,0,0,0,0,0,0,0,0,0,0,0.005280467,0.001215653, 0.75 ,75099 - 75220,75099.37165,120.5653134,75219.93696,,0
5911 COLE K   (ED),180,170,,,,,,,,,,,0,2,352,0.00419195,0,0,0,0,0,0,0,0,0,0,0.00419195,0.000965058, 0.75 ,75221 - 75316,75220.93696,95.50579701,75316.44276,,0
5912 COLE L   (ED),226,386,,,,,,,,,,,0,14,626,0.005396267,0,0,0,0,0,0,0,0,0,0,0.005396267,0.001242312, 0.75 ,75317 - 75441,75317.44276,123.2312194,75440.67398,,0
5913 COLE M   (ED),212,132,,,,,,,,,,,0,4,348,0.004956228,0,0,0,0,0,0,0,0,0,0,0.004956228,0.001141008, 0.76 ,75442 - 75555,75441.67398,113.1007766,75554.77475,,0
5914 COLE N   (ED),266,329,,,,,,,,,,,0,7,602,0.006241605,0,0,0,0,0,0,0,0,0,0,0.006241605,0.001436923, 0.76 ,75556 - 75698,75555.77475,142.6923331,75698.46709,,0
5915 COLE O   (ED),103,137,,,,,,,,,,,0,0,240,0.002385474,0,0,0,0,0,0,0,0,0,0,0.002385474,0.000549177, 0.76 ,75699 - 75753,75699.46709,53.91766349,75753.38475,,0
5916 COLE P   (ED),129,64,,,,,,,,,,,0,2,195,0.003010793,0,0,0,0,0,0,0,0,0,0,0.003010793,0.000693136, 0.76 ,75754 - 75823,75754.38475,68.31355587,75822.6983,,0
5917 COLE Q   (ED),188,405,,,,,,,,,,,0,3,596,0.004388809,0,0,0,0,0,0,0,0,0,0,0.004388809,0.001010378, 0.76 ,75824 - 75924,75823.6983,100.0378372,75923.73614,,0
5918 COLE R   (ED),230,216,,,,,,,,,,,0,1,447,0.005338367,0,0,0,0,0,0,0,0,0,0,0.005338367,0.001228983, 0.76 ,75925 - 76047,75924.73614,121.8982664,76046.63441,,0
5919 COLE S   (ED),237,312,,,,,,,,,,,0,8,557,0.005581546,0,0,0,0,0,0,0,0,0,0,0.005581546,0.001284967, 0.76 ,76048 - 76175,76047.63441,127.496669,76175.13108,,0
5920 COLE T   (ED),276,153,,,,,,,,,,,0,7,436,0.006473204,0,0,0,0,0,0,0,0,0,0,0.006473204,0.001490241, 0.76 ,76176 - 76324,76176.13108,148.0241451,76324.15522,,0
5921 COLE U   (ED),215,192,,,,,,,,,,,0,3,410,0.005014128,0,0,0,0,0,0,0,0,0,0,0.005014128,0.001154337, 0.76 ,76325 - 76440,76325.15522,114.4337296,76439.58895,,0
5922 COLE V   (ED),228,213,,,,,,,,,,,0,4,445,0.005326787,0,0,0,0,0,0,0,0,0,0,0.005326787,0.001226317, 0.77 ,76441 - 76562,76440.58895,121.6316758,76562.22063,,0
5923 COLE W   (ED),131,70,,,,,,,,,,,1,3,205,0.003080272,0,0,0,0,0,0,0,0,0,0,0.003080272,0.000709131, 0.77 ,76563 - 76633,76563.22063,69.91309946,76633.13373,,0
5924 COLE X   (ED),259,148,,,,,,,,,,,0,4,411,0.006044745,0,0,0,0,0,0,0,0,0,0,0.006044745,0.001391603, 0.77 ,76634 - 76772,76634.13373,138.1602929,76772.29402,,0
5925 COLE Y   (ED),287,129,,,,,,,,,,,0,2,418,0.006670063,0,0,0,0,0,0,0,0,0,0,0.006670063,0.001535562, 0.77 ,76773 - 76926,76773.29402,152.5561853,76925.85021,,0
5926 COLE Z   (ED),327,168,,,,,,,,,,,0,5,500,0.007631201,0,0,0,0,0,0,0,0,0,0,0.007631201,0.001756832, 0.77 ,76927 - 77102,76926.85021,174.6832051,77101.53341,,0
5927 COLE AA   (ED),186,416,,,,,,,,,,,0,4,606,0.004354069,0,0,0,0,0,0,0,0,0,0,0.004354069,0.001002381, 0.77 ,77103 - 77202,77102.53341,99.23806541,77201.77148,,0
5928 COLE BB   (ED),246,367,,,,,,,,,,,0,2,615,0.005720506,0,0,0,0,0,0,0,0,0,0,0.005720506,0.001316958, 0.77 ,77203 - 77333,77202.77148,130.6957561,77333.46723,,0
5929 COLE CC   (ED),180,114,,,,,,,,,,,0,1,295,0.00418037,0,0,0,0,0,0,0,0,0,0,0.00418037,0.000962392, 0.77 ,77334 - 77430,77334.46723,95.23920641,77429.70644,,0
5930 COLE DD   (ED),228,66,,,,,,,,,,,0,2,296,0.005303627,0,0,0,0,0,0,0,0,0,0,0.005303627,0.001220985, 0.78 ,77431 - 77552,77430.70644,121.0984946,77551.80493,,0
5931 COLE EE   (ED),234,204,,,,,,,,,,,0,4,442,0.005465746,0,0,0,0,0,0,0,0,0,0,0.005465746,0.001258308, 0.78 ,77553 - 77678,77552.80493,124.830763,77677.6357,,0
5932 COLE FF   (ED),81,70,,,,,,,,,,,0,1,152,0.001887535,0,0,0,0,0,0,0,0,0,0,0.001887535,0.000434543, 0.78 ,77679 - 77721,77678.6357,42.45426772,77721.08996,,0
5933 COLE GG   (ED),264,180,,,,,,,,,,,0,4,448,0.006160545,0,0,0,0,0,0,0,0,0,0,0.006160545,0.001418262, 0.78 ,77722 - 77863,77722.08996,140.8261989,77862.91616,,0
5934 COLE HH   (ED),206,114,,,,,,,,,,,0,2,322,0.004794108,0,0,0,0,0,0,0,0,0,0,0.004794108,0.001103685, 0.78 ,77864 - 77973,77863.91616,109.3685082,77973.28467,,0
5935 COLE II   (ED),125,128,,,,,,,,,,,0,0,253,0.002894993,0,0,0,0,0,0,0,0,0,0,0.002894993,0.000666476, 0.78 ,77974 - 78040,77974.28467,65.64764987,78039.93232,,0
5936 COLE JJ   (ED),276,221,,,,,,,,,,,0,5,502,0.006450044,0,0,0,0,0,0,0,0,0,0,0.006450044,0.00148491, 0.78 ,78041 - 78188,78040.93232,147.4909639,78188.42328,,0
5937 COLE KK   (ED),307,127,,,,,,,,,,,0,2,436,0.007133262,0,0,0,0,0,0,0,0,0,0,0.007133262,0.001642198, 0.78 ,78189 - 78353,78189.42328,163.2198093,78352.64309,,0
5938 COLE LL   (ED),200,104,,,,,,,,,,,0,3,307,0.004666728,0,0,0,0,0,0,0,0,0,0,0.004666728,0.00107436, 0.78 ,78354 - 78460,78353.64309,106.4360116,78460.07911,,0
6201 COLUM A   (ED),48,26,,,,,,,,,,,0,2,76,0.001134837,0,0,0,0,0,0,0,0,0,0,0.001134837,0.000261259, 0.78 ,78461 - 78486,78461.07911,25.12587875,78486.20498,,0
6202 COLUM B   (ED),89,43,,,,,,,,,,,0,0,132,0.002061235,0,0,0,0,0,0,0,0,0,0,0.002061235,0.000474531, 0.79 ,78487 - 78534,78487.20498,46.45312671,78533.65811,,0
6203 COLUM C   (ED),163,53,,,,,,,,,,,0,4,220,0.003821391,0,0,0,0,0,0,0,0,0,0,0.003821391,0.000879749, 0.79 ,78535 - 78622,78534.65811,86.97489783,78621.63301,,0
6204 COLUM D   (ED),126,26,,,,,,,,,,,0,2,154,0.002941313,0,0,0,0,0,0,0,0,0,0,0.002941313,0.00067714, 0.79 ,78623 - 78689,78622.63301,66.71401227,78689.34702,,0
6205 COLUM E   (ED),73,32,,,,,,,,,,,0,0,105,0.001690676,0,0,0,0,0,0,0,0,0,0,0.001690676,0.000389222, 0.79 ,78690 - 78728,78690.34702,37.92222752,78728.26925,,0
6206 COLUM F   (ED),165,96,,,,,,,,,,,0,1,262,0.00383297,0,0,0,0,0,0,0,0,0,0,0.00383297,0.000882415, 0.79 ,78729 - 78817,78729.26925,87.24148843,78816.51074,,0
6207 COLUM G   (ED),228,83,,,,,,,,,,,0,6,317,0.005349947,0,0,0,0,0,0,0,0,0,0,0.005349947,0.001231649, 0.79 ,78818 - 78940,78817.51074,122.164857,78939.67559,,0
6208 COLUM H   (ED),1,0,,,,,,,,,,,0,0,1,2.31599E-05,0,0,0,0,0,0,0,0,0,0,2.31599E-05,5.33181E-06, 0.79 ,78941 - 78940,78940.67559,-0.466818801,78940.20878,,0
6209 COLUM I   (ED),27,5,,,,,,,,,,,0,0,32,0.000625318,0,0,0,0,0,0,0,0,0,0,0.000625318,0.000143959, 0.79 ,78941 - 78955,78941.20878,13.39589237,78954.60467,,0
6401 CROSB A   (ED),254,354,,,,,,,,,,,0,4,612,0.005928945,0,0,0,0,0,0,0,0,0,0,0.005928945,0.001364944, 0.79 ,78956 - 79091,78955.60467,135.4943869,79091.09905,,0
6402 CROSB B   (ED),206,433,,,,,,,,,,,0,5,644,0.004828848,0,0,0,0,0,0,0,0,0,0,0.004828848,0.001111683, 0.79 ,79092 - 79202,79092.09905,110.16828,79202.26733,,0
6501 DELHI A   (ED),256,195,,,,,,,,,,,0,5,456,0.005986845,0,0,0,0,0,0,0,0,0,0,0.005986845,0.001378273, 0.79 ,79203 - 79340,79203.26733,136.8273399,79340.09467,,0
6502 DELHI B   (ED),239,178,,,,,,,,,,,0,5,422,0.005593126,0,0,0,0,0,0,0,0,0,0,0.005593126,0.001287633, 0.79 ,79341 - 79469,79341.09467,127.7632595,79468.85793,,0
6503 DELHI C   (ED),260,342,,,,,,,,,,,0,6,608,0.006091065,0,0,0,0,0,0,0,0,0,0,0.006091065,0.001402267, 0.80 ,79470 - 79609,79469.85793,139.2266553,79609.08459,,0
6504 DELHI D   (ED),183,194,,,,,,,,,,,0,8,385,0.004330909,0,0,0,0,0,0,0,0,0,0,0.004330909,0.000997049, 0.80 ,79610 - 79709,79610.08459,98.70488421,79708.78947,,0
6505 DELHI E   (ED),178,354,,,,,,,,,,,0,7,539,0.00420353,0,0,0,0,0,0,0,0,0,0,0.00420353,0.000967724, 0.80 ,79710 - 79806,79709.78947,95.77238761,79805.56186,,0
